,run,step,small triangle,middle triangle,big triangle,square,parallelogram
0,0,1,set(),set(),"{(2.0, 0.0)}",set(),set()
1,0,2,set(),"{(11.0, 0.0)}","{(2.0, 0.0)}",set(),set()
2,0,3,set(),set(),"{(2.0, 0.0)}",set(),"{(11.0, 45.0)}"
3,0,4,set(),"{(8.0, 45.0)}","{(2.0, 0.0)}",set(),"{(11.0, 45.0)}"
4,0,5,set(),"{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}",set(),"{(11.0, 45.0)}"
5,0,6,set(),"{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
6,0,7,"{(5.0, 90.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
7,0,8,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
8,0,9,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
9,0,10,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
10,0,11,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
11,0,12,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
12,0,13,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
13,0,14,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
14,0,15,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
15,0,16,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
16,0,17,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(17.0, 0.0)}","{(11.0, 45.0)}"
17,1,1,set(),set(),set(),"{(22.0, 0.0)}",set()
18,1,2,set(),set(),"{(13.0, 0.0)}","{(22.0, 0.0)}",set()
19,1,3,set(),set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}",set()
20,1,4,"{(10.0, 135.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}",set()
21,1,5,set(),set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
22,1,6,"{(5.0, 90.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
23,1,7,"{(9.0, 45.0), (5.0, 90.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
24,1,8,"{(5.0, 90.0), (11.0, 180.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
25,1,9,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
26,1,10,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
27,1,11,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
28,1,12,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
29,1,13,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
30,1,14,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
31,1,15,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
32,1,16,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
33,1,17,"{(5.0, 90.0), (11.0, 180.0)}","{(8.0, 45.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(11.0, 45.0)}"
34,2,1,set(),set(),set(),"{(22.0, 0.0)}",set()
